datetime,open,high,low,close,volume
2024-01-01,0.86692,0.8679,0.86653,0.86675,0
2024-01-02,0.86676,0.86821,0.86454,0.86713,0
2024-01-03,0.86713,0.86759,0.86047,0.86229,0
2024-01-04,0.86229,0.86392,0.86099,0.86259,0
2024-01-05,0.86259,0.86338,0.8599,0.86005,0
2024-01-07,0.8598,0.86088,0.8598,0.86076,0
2024-01-08,0.86074,0.86207,0.85786,0.8594,0
2024-01-09,0.85941,0.86087,0.85905,0.86055,0
2024-01-10,0.86055,0.86204,0.85954,0.85997,0
2024-01-11,0.85996,0.86171,0.85882,0.85927,0
2024-01-12,0.85926,0.8606,0.85849,0.85867,0
2024-01-14,0.8582,0.86008,0.85819,0.85945,0
2024-01-15,0.85945,0.86117,0.85888,0.86091,0
2024-01-16,0.8609,0.86198,0.85907,0.86108,0
2024-01-17,0.86111,0.86179,0.85675,0.85893,0
2024-01-18,0.85894,0.85904,0.85531,0.85669,0
2024-01-19,0.85668,0.85926,0.85655,0.85749,0
2024-01-21,0.8574,0.85799,0.8568,0.8573,0
2024-01-22,0.85729,0.85826,0.85512,0.85621,0
2024-01-23,0.85621,0.85651,0.85461,0.85525,0
2024-01-24,0.85524,0.85609,0.85356,0.85562,0
2024-01-25,0.85562,0.8564,0.85207,0.85323,0
2024-01-26,0.85322,0.85476,0.85247,0.85424,0
2024-01-28,0.85349,0.8544,0.85321,0.85344,0
2024-01-29,0.85344,0.8535,0.85128,0.85202,0
2024-01-30,0.85202,0.85673,0.85165,0.85325,0
2024-01-31,0.85324,0.85476,0.85125,0.85226,0
2024-02-01,0.85226,0.85584,0.85202,0.85296,0
2024-02-02,0.85297,0.85475,0.85202,0.85385,0
2024-02-04,0.85364,0.85535,0.85257,0.85487,0
2024-02-05,0.85485,0.85717,0.85287,0.85631,0
2024-02-06,0.85631,0.85684,0.85302,0.85359,0
2024-02-07,0.85359,0.85399,0.85155,0.85356,0
2024-02-08,0.85356,0.85444,0.85264,0.85374,0
2024-02-09,0.85374,0.8547,0.85319,0.85385,0
2024-02-11,0.85321,0.85464,0.85315,0.85439,0
2024-02-12,0.85441,0.85456,0.85212,0.85341,0
2024-02-13,0.8534,0.85348,0.84992,0.85002,0
2024-02-14,0.85002,0.85485,0.84979,0.85364,0
2024-02-15,0.85364,0.85698,0.85361,0.85508,0
2024-02-16,0.85508,0.85648,0.85359,0.85515,0
2024-02-18,0.85376,0.85527,0.85371,0.85426,0
2024-02-19,0.85425,0.85605,0.85368,0.85558,0
2024-02-20,0.85558,0.85778,0.85455,0.85601,0
2024-02-21,0.85601,0.85713,0.85566,0.85678,0
2024-02-22,0.85676,0.8575,0.85417,0.8547,0
2024-02-23,0.8547,0.8551,0.8528,0.85346,0
2024-02-25,0.85395,0.85469,0.8534,0.85431,0
2024-02-26,0.85431,0.85609,0.85414,0.85559,0
2024-02-27,0.85558,0.8567,0.85426,0.85516,0
2024-02-28,0.85516,0.85654,0.85458,0.85538,0
2024-02-29,0.85538,0.85701,0.85501,0.85628,0
2024-03-01,0.8563,0.85757,0.85542,0.85609,0
2024-03-03,0.85603,0.85661,0.85589,0.85624,0
2024-03-04,0.85624,0.85662,0.85448,0.85542,0
2024-03-05,0.85542,0.85605,0.8535,0.85431,0
2024-03-06,0.8543,0.85627,0.85408,0.85582,0
2024-03-07,0.85584,0.8561,0.85236,0.85461,0
2024-03-08,0.85461,0.85477,0.85036,0.85042,0
2024-03-10,0.85005,0.85155,0.84983,0.85114,0
2024-03-11,0.85116,0.85347,0.85104,0.85313,0
2024-03-12,0.85314,0.85544,0.85297,0.85396,0
2024-03-13,0.85397,0.85594,0.85385,0.85539,0
2024-03-14,0.85538,0.85544,0.85298,0.85376,0
2024-03-15,0.85376,0.85528,0.85369,0.8548,0
2024-03-17,0.85443,0.85531,0.85386,0.85512,0
2024-03-18,0.85512,0.85622,0.85352,0.85473,0
2024-03-19,0.85473,0.85556,0.85294,0.85433,0
2024-03-20,0.85433,0.85577,0.85345,0.85481,0
2024-03-21,0.8548,0.85822,0.8529,0.8569,0
2024-03-22,0.85689,0.8602,0.85687,0.85756,0
2024-03-24,0.85647,0.85812,0.85644,0.85777,0
2024-03-25,0.85775,0.85844,0.85639,0.85744,0
2024-03-26,0.85743,0.85881,0.85689,0.85829,0
2024-03-27,0.85828,0.85838,0.85612,0.85687,0
2024-03-28,0.85686,0.85697,0.85345,0.85371,0
2024-03-29,0.85371,0.85541,0.85296,0.85389,0
2024-03-31,0.85297,0.85449,0.85295,0.85403,0
2024-04-01,0.85401,0.8563,0.85393,0.85551,0
2024-04-02,0.85552,0.85749,0.85403,0.85671,0
2024-04-03,0.85672,0.85823,0.85567,0.85691,0
2024-04-04,0.8569,0.85804,0.85642,0.85746,0
2024-04-05,0.85746,0.8586,0.85725,0.85725,0
2024-04-07,0.85756,0.85826,0.85733,0.85767,0
2024-04-08,0.85768,0.85842,0.85716,0.8578,0
2024-04-09,0.85778,0.85821,0.85517,0.85614,0
2024-04-10,0.85612,0.85706,0.85465,0.85645,0
2024-04-11,0.85642,0.85653,0.85392,0.85425,0
2024-04-12,0.85426,0.85515,0.85281,0.85448,0
2024-04-14,0.85357,0.85525,0.85311,0.85481,0
2024-04-15,0.85481,0.85509,0.85218,0.85378,0
2024-04-16,0.85378,0.85508,0.85278,0.85494,0
2024-04-17,0.85494,0.85719,0.85205,0.85644,0
2024-04-18,0.85643,0.85709,0.85509,0.85658,0
2024-04-19,0.85659,0.86153,0.85544,0.86132,0
2024-04-21,0.85992,0.86165,0.85958,0.86106,0
2024-04-22,0.86108,0.86438,0.86082,0.86261,0
2024-04-23,0.86262,0.86445,0.85823,0.85949,0
2024-04-24,0.85949,0.85997,0.85788,0.85896,0
2024-04-25,0.85895,0.85911,0.85643,0.85783,0
2024-04-26,0.85784,0.85836,0.85541,0.85541,0
2024-04-28,0.85529,0.8562,0.85529,0.85572,0
2024-04-29,0.85572,0.85609,0.85272,0.85328,0
2024-04-30,0.85326,0.85547,0.85283,0.85428,0
2024-05-01,0.85427,0.85581,0.85363,0.85509,0
2024-05-02,0.85508,0.85648,0.85464,0.85521,0
2024-05-03,0.85521,0.85861,0.85478,0.85759,0
2024-05-05,0.85724,0.85812,0.85688,0.8579,0
2024-05-06,0.85792,0.85804,0.85519,0.85755,0
2024-05-07,0.85753,0.8602,0.85746,0.86016,0
2024-05-08,0.86016,0.86176,0.85875,0.86001,0
2024-05-09,0.86003,0.86203,0.85906,0.86087,0
2024-05-10,0.86086,0.86093,0.85929,0.8597,0
2024-05-12,0.85963,0.86024,0.85949,0.85986,0
2024-05-13,0.85985,0.86086,0.85851,0.85892,0
2024-05-14,0.85891,0.8614,0.85866,0.8593,0
2024-05-15,0.85929,0.85998,0.8571,0.8578,0
2024-05-16,0.85781,0.85872,0.85672,0.85785,0
2024-05-17,0.85785,0.85801,0.85542,0.85557,0
2024-05-19,0.85512,0.85625,0.85508,0.85619,0
2024-05-20,0.85619,0.85675,0.8535,0.85435,0
2024-05-21,0.85436,0.85508,0.85316,0.85388,0
2024-05-22,0.85387,0.85413,0.85017,0.85083,0
2024-05-23,0.85082,0.8527,0.84991,0.85167,0
2024-05-24,0.85166,0.85317,0.85118,0.85147,0
2024-05-26,0.85089,0.85177,0.85066,0.85139,0
2024-05-27,0.8514,0.85201,0.8493,0.85109,0
