datetime,open,high,low,close,volume
2024-01-01,1.10427,1.10447,1.10165,1.10208,0
2024-01-02,1.10208,1.10387,1.09375,1.09622,0
2024-01-03,1.09623,1.09654,1.08929,1.09258,0
2024-01-04,1.09259,1.09721,1.09208,1.09371,0
2024-01-05,1.09371,1.09984,1.08767,1.09392,0
2024-01-07,1.09386,1.0953,1.09306,1.0934,0
2024-01-08,1.09342,1.09788,1.09226,1.09561,0
2024-01-09,1.0956,1.09629,1.09103,1.09321,0
2024-01-10,1.09321,1.09847,1.09228,1.09777,0
2024-01-11,1.09775,1.1,1.09302,1.09755,0
2024-01-12,1.09756,1.09868,1.09359,1.09483,0
2024-01-14,1.0948,1.09675,1.09407,1.09628,0
2024-01-15,1.09629,1.09666,1.09134,1.09175,0
2024-01-16,1.09175,1.09265,1.0862,1.08709,0
2024-01-17,1.08709,1.09028,1.08445,1.08941,0
2024-01-18,1.0894,1.09067,1.08466,1.08864,0
2024-01-19,1.08865,1.08983,1.08656,1.0896,0
2024-01-21,1.08906,1.09091,1.08878,1.09028,0
2024-01-22,1.09029,1.09094,1.08756,1.08983,0
2024-01-23,1.08984,1.09162,1.08215,1.08645,0
2024-01-24,1.08644,1.09323,1.08592,1.08754,0
2024-01-25,1.08754,1.09018,1.08216,1.08395,0
2024-01-26,1.08395,1.08854,1.08128,1.08504,0
2024-01-28,1.08468,1.0849,1.08393,1.08448,0
2024-01-29,1.08446,1.085,1.07958,1.08253,0
2024-01-30,1.08251,1.08573,1.08119,1.08205,0
2024-01-31,1.08203,1.08874,1.07949,1.08076,0
2024-02-01,1.08076,1.08796,1.07799,1.0873,0
2024-02-02,1.0873,1.08974,1.07804,1.07849,0
2024-02-04,1.07854,1.07858,1.07673,1.07788,0
2024-02-05,1.07788,1.07861,1.07231,1.07489,0
2024-02-06,1.0749,1.07665,1.07225,1.0759,0
2024-02-07,1.07589,1.07883,1.07556,1.07799,0
2024-02-08,1.07797,1.07889,1.07416,1.07711,0
2024-02-09,1.0771,1.07951,1.07621,1.07821,0
2024-02-11,1.07767,1.07997,1.07766,1.07904,0
