,0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,-0.0002984124457883208
2024-01-05,0.0
2024-01-07,-0.0007046726745801868
2024-01-08,0.0
2024-01-09,-0.0011406353835015093
2024-01-10,-0.0005653584074748474
2024-01-11,0.0
2024-01-12,0.0
2024-01-14,-0.000773088588023052
2024-01-15,-0.0022201518425277733
2024-01-16,-0.0023886455091480796
2024-01-17,-0.000257696196007573
2024-01-18,0.0
2024-01-19,-0.0007913583666363522
2024-01-21,-0.000603410754560274
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,-0.00036548263463598296
2024-01-25,0.0
2024-01-26,-0.0009956820915238973
2024-01-28,-0.00020702300912867067
2024-01-29,0.0
2024-01-30,-0.001211118660089161
2024-01-31,-0.000236315836114942
2024-02-01,-0.0009255703581170227
2024-02-02,-0.001801908250376627
2024-02-04,-0.002806250553865297
2024-02-05,-0.00422414557055506
2024-02-06,-0.0015458994279187177
2024-02-07,-0.0015163599484044887
2024-02-08,-0.0016935968254906397
2024-02-09,-0.001801908250376627
2024-02-11,-0.002333618881635302
2024-02-12,-0.0013686625508325667
2024-02-13,0.0
2024-02-14,-0.003557424896078021
2024-02-15,-0.00497253314203161
2024-02-16,-0.005041323126210084
2024-02-18,-0.004166707613085907
2024-02-19,-0.005463890171876762
2024-02-20,-0.005886457217543439
2024-02-21,-0.00664314704350466
2024-02-22,-0.004599101799349525
2024-02-23,-0.003380536365333864
2024-02-25,-0.004215843316070278
2024-02-26,-0.005473717312473592
2024-02-27,-0.005051150266806914
2024-02-28,-0.005267347359938723
2024-02-29,-0.006151790013659841
2024-03-01,-0.0059650743423185215
2024-03-03,-0.006112481451272078
2024-03-04,-0.005306655922326264
2024-03-05,-0.0042158433160705
2024-03-06,-0.005699741546202564
2024-03-07,-0.004510657533977502
2024-03-08,-0.00039308562387618817
2024-03-10,-0.0011006397468530382
2024-03-11,-0.003056240725636372
2024-03-12,-0.0038718933951790158
2024-03-13,-0.005277174500535664
2024-03-14,-0.003675350583240977
2024-03-15,-0.004697373205318711
2024-03-17,-0.005011841704419484
2024-03-18,-0.004628583221140237
2024-03-19,-0.004235497597264382
2024-03-20,-0.00470720034591543
2024-03-21,-0.006761072730667506
2024-03-22,-0.007409664010063155
2024-03-24,-0.007616033962598023
2024-03-25,-0.007291738322900088
2024-03-26,-0.008127045273636724
2024-03-27,-0.006731591308877016
2024-03-28,-0.0036262148802563843
2024-03-29,-0.0038031034110005413
2024-03-31,-0.003940683379357157
2024-04-01,-0.005395100187698509
2024-04-02,-0.006574357059326519
2024-04-03,-0.006770899871264446
2024-04-04,-0.007311392604093969
2024-04-05,-0.007105022651559101
2024-04-07,-0.00751776255662906
2024-04-08,-0.007645515384388513
2024-04-09,-0.006014210045303114
2024-04-10,-0.006318851403807169
2024-04-11,-0.004156880472489188
2024-04-12,-0.004382904706217938
2024-04-14,-0.004707200345915874
2024-04-15,-0.003695004864435081
2024-04-16,-0.004834953173675549
2024-04-17,-0.006309024263210783
2024-04-18,-0.006446604231567177
2024-04-19,-0.011104668874498014
2024-04-21,-0.010849163218978775
2024-04-22,-0.012372370011498268
2024-04-23,-0.009306302145265177
2024-04-24,-0.008785463693629536
2024-04-25,-0.007674996806179557
2024-04-26,-0.005296828781729768
2024-04-28,-0.0056014701402336
2024-04-29,-0.003203647834589929
2024-04-30,-0.004186361894280011
2024-05-01,-0.004982360282628773
2024-05-02,-0.005100285969791507
2024-05-03,-0.007439145431853866
2024-05-05,-0.0077437867903576985
2024-05-06,-0.007399836869466214
2024-05-07,-0.009964720565257212
2024-05-08,-0.009817313456303656
2024-05-09,-0.01066244754763701
2024-05-10,-0.009512672097799602
2024-05-12,-0.009669906347350099
2024-05-13,-0.00874615513124144
2024-05-14,-0.009119586473923635
2024-05-15,-0.007645515384388735
2024-05-16,-0.0076946510873731055
2024-05-17,-0.005454063031280043
2024-05-19,-0.006063345748287707
2024-05-20,-0.004255151878458152
2024-05-21,-0.0037932762704038225
2024-05-22,-0.0007959983883492061
2024-05-23,-0.0016214781984889015
2024-05-24,-0.001424935386550752
2024-05-26,-0.0013463182617755587
2024-05-27,-0.0010515040438684453
2024-05-28,-0.0006387641387987086
2024-05-29,-0.0005011841704420927
2024-05-30,-0.00031446849910099495
2024-05-31,-0.0012087382934189428
2024-06-02,-0.0015821696361012494
2024-06-03,-0.0014347625271479147
2024-06-04,-0.0017000953232643168
2024-06-05,-0.0008353069507370803
2024-06-06,-0.0018081938698302213
2024-06-07,0.0
2024-06-09,0.0
2024-06-10,0.0
2024-06-11,0.0
2024-06-12,-0.0023711943793910395
2024-06-13,0.0
2024-06-14,-0.0013945233265721946
2024-06-16,-0.0017650959588079163
2024-06-17,-0.0023794663754097556
2024-06-18,-0.0026720237166485417
2024-06-19,-0.002535496957403627
2024-06-20,-0.004105554688718982
2024-06-21,-0.002993836792011262
2024-06-23,-0.0034326728038696075
2024-06-24,-0.003510688094866765
2024-06-25,-0.0019893899204246335
2024-06-26,-0.004125058511468382
2024-06-27,-0.004261585270713186
2024-06-28,-0.004836948041816336
2024-06-30,-0.007235918239975159
2024-07-01,-0.007089639569355599
2024-07-02,-0.00452488687782826
2024-07-03,-0.004105554688719204
2024-07-04,-0.0050124824465598294
2024-07-05,-0.0030425963488847074
2024-07-07,-0.0029840848806372833
2024-07-08,-0.003325401778749071
2024-07-09,-0.0035106880948672092
2024-07-10,-0.0005168513028559474
2024-07-11,0.0
2024-07-12,0.0
2024-07-14,-0.0003598031779372679
