,0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-07,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,-4.7967478049693035e-05
2024-01-11,0.0
2024-01-12,0.0
2024-01-14,-8.092708469686904e-05
2024-01-15,-0.00019682266278109317
2024-01-16,-0.0002887398453992329
2024-01-17,-0.00036966693009599094
2024-01-18,-0.0002617641505003876
2024-01-19,-0.0003037263425652581
2024-01-21,-0.00023179115616833723
2024-01-22,-0.00010690367978460902
2024-01-23,-5.4950489608796005e-05
2024-01-24,-0.0003187128397313943
2024-01-25,-0.00023578755541242558
2024-01-26,-0.0001988208624028598
2024-01-28,-0.00019282626353644972
2024-01-29,-0.00027575154785552947
2024-01-30,-0.00029673264388807574
2024-01-31,-0.00044959491498142157
2024-02-01,-0.0002068136608915916
2024-02-02,-0.00020181816183617585
2024-02-04,-0.0002507740525786728
2024-02-05,-0.00022279925786872212
2024-02-06,-0.00017783976637053556
2024-02-07,-0.00012988297543914396
2024-02-08,-3.297029376547744e-05
2024-02-09,-4.6957691120619316e-05
2024-02-11,-5.6948689231672844e-05
2024-02-12,-0.00014087307336152488
2024-02-13,-0.00011989197732875656
2024-02-14,-5.6948689231228755e-05
2024-02-15,-0.00015486047071600062
2024-02-16,-0.0002577677512559662
2024-02-18,-0.00026775874936679767
2024-02-19,-0.0001558595705267729
2024-02-20,-9.990998110276372e-06
2024-02-21,0.0
2024-02-22,-0.00018380094357761667
2024-02-23,-0.00012186801693736538
2024-02-25,-0.00014684097122807938
2024-02-26,-0.00017880635271971812
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,-5.293584175969368e-05
2024-03-01,0.0
2024-03-03,-9.188716256436358e-05
2024-03-04,-9.68810300946421e-05
2024-03-05,-0.0001797792311037938
2024-03-06,-4.7941128294315405e-05
2024-03-07,0.0
2024-03-08,0.0
2024-03-10,0.0
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0
2024-03-14,0.0
2024-03-15,-0.00011378290222252563
2024-03-17,-0.00010779432842134007
2024-03-18,-0.00024652962148252744
2024-03-19,-0.00042518873988472983
2024-03-20,-0.00032737536779925414
2024-03-21,-0.0005389716421079216
2024-03-22,-0.0005220040163379513
2024-03-24,-0.0005249983032385996
2024-03-25,-0.000519009729437192
2024-03-26,-0.0003812725320101462
2024-03-27,-0.00036131061933986075
2024-03-28,-0.0004641144695934907
2024-03-29,-0.0003373563241354516
2024-03-31,-0.00031839250709864153
2024-04-01,-0.00029344011626020183
2024-04-02,-0.000244533430217464
2024-04-03,-0.00023255628261464878
2024-04-04,-0.0002395429520495318
2024-04-05,-0.0004750935215630525
2024-04-07,-0.00070565361290853
2024-04-08,-0.0007036574216412461
2024-04-09,-0.0007565564902179966
2024-04-10,-0.0005948649975859865
2024-04-11,-0.0004211963573513833
2024-04-12,-0.00015370672756487291
2024-04-14,-0.00011877338039156804
2024-04-15,-5.190097294494045e-05
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,-4.8895461502773685e-05
2024-04-21,-9.280159019964263e-05
2024-04-22,-0.00017562451478692065
2024-04-23,-0.000108767455180514
2024-04-24,-0.00013471198577397203
2024-04-25,-0.0003622255617486969
2024-04-26,-0.00030834076743890826
2024-04-28,-0.00030834076743890826
2024-04-29,-0.0004969375475226689
2024-04-30,-0.0004959396809613992
2024-05-01,-0.0004789759494194801
2024-05-02,-0.00037619569360647365
2024-05-03,-0.0003751978270453149
2024-05-05,-0.00034825542989036506
2024-05-06,-0.0003003578349487501
2024-05-07,-0.00030434930119360715
2024-05-08,-0.00036122769518742714
2024-05-09,-0.00025046450688404054
2024-05-10,-0.0003502511630130156
2024-05-12,-0.00030135570150979785
2024-05-13,-0.0003193172996133198
2024-05-14,-0.00036821276111653756
2024-05-15,-0.000606702869265674
2024-05-16,-0.00047598234973611486
2024-05-17,-0.0003382767642781115
2024-05-19,-0.00036022982862649044
2024-05-20,-0.0003093386340005111
2024-05-21,-0.00031532583336890685
2024-05-22,-0.0002853898365301477
2024-05-23,-0.00024647304063984965
2024-05-24,-0.00022950930909781952
2024-05-26,-0.00019558184601375928
2024-05-27,-0.00010178238925229177
2024-05-28,-4.390612869742405e-05
2024-05-29,0.0
2024-05-30,0.0
2024-05-31,0.0
2024-06-02,-4.8891265824746455e-05
2024-06-03,0.0
2024-06-04,0.0
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,0.0
2024-06-09,0.0
2024-06-10,-0.00014063014272458485
2024-06-11,-8.377965949546429e-05
2024-06-12,0.0
2024-06-13,-0.0002922276423411585
2024-06-14,-0.0002712829990335619
2024-06-16,-0.0002882381864733885
2024-06-17,-0.0004398375094626372
2024-06-18,-0.0005256108106274082
2024-06-19,-0.0005694948251772081
2024-06-20,-0.0005126450790559067
2024-06-21,-0.000502671439385316
2024-06-23,-0.0005615159134404468
2024-06-24,-0.0005565290936054845
2024-06-25,-0.0006472892146056619
2024-06-26,-0.0005874473765836719
2024-06-27,-0.0007200967841990424
2024-06-28,-0.0008208305448694775
2024-06-30,-0.0007958964456936668
2024-07-01,-0.000666239129979096
2024-07-02,-0.0005974210162538185
2024-07-03,-0.0006053999279903577
2024-07-04,-0.00048471888797907425
2024-07-05,-0.0004917004357484211
2024-07-07,-0.0005066608952537521
2024-07-08,-0.0004707557924406025
2024-07-09,-0.00046576897260541816
2024-07-10,-0.0005375791782320505
2024-07-11,-0.0005066608952535301
2024-07-12,-0.0004458216932645698
